work,mode,fraction,seed,attack_f1,tpr,fpr
KitNET / Mirai,kitnet,1.0,0,0.9044086395425215,0.8259933657985743,0.0010202856799903972
KitNET / Mirai,kitnet,1.0,1,0.9044086395425215,0.8259933657985743,0.0010202856799903972
KitNET / Mirai,kitnet,1.0,2,0.9044086395425215,0.8259933657985743,0.0010202856799903972
KitNET / Mirai,kitnet,0.5,0,0.9048952399343438,0.8268049968240525,0.0010202856799903972
KitNET / Mirai,kitnet,0.5,1,0.9048952399343438,0.8268049968240525,0.0010202856799903972
KitNET / Mirai,kitnet,0.5,2,0.9048952399343438,0.8268049968240525,0.0010202856799903972
KitNET / Mirai,kitnet,0.25,0,0.02754686793502835,0.013974168960406522,0.0010202856799903972
KitNET / Mirai,kitnet,0.25,1,0.02754686793502835,0.013974168960406522,0.0010202856799903972
KitNET / Mirai,kitnet,0.25,2,0.02754686793502835,0.013974168960406522,0.0010202856799903972
KitNET / Mirai,kitnet,0.1,0,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.1,1,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.1,2,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.05,0,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.05,1,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.05,2,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.01,0,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.01,1,0.03247406585018909,0.016514926953207706,0.0010202856799903972
KitNET / Mirai,kitnet,0.01,2,0.03247406585018909,0.016514926953207706,0.0010202856799903972
Mateen / CICIDS2017,mateen,1.0,0,0.8026214281895189,0.7377762799449546,0.055265836505922164
Mateen / CICIDS2017,mateen,1.0,1,0.812035185233284,0.7526008128417767,0.055471834461364916
Mateen / CICIDS2017,mateen,1.0,2,0.7359121188413982,0.637799951052963,0.052475500564015794
Mateen / CICIDS2017,mateen,0.5,0,0.7689426156825133,0.6819044409405856,0.05036264452904681
Mateen / CICIDS2017,mateen,0.5,1,0.7779867326146086,0.6954370930274545,0.05071295121263395
Mateen / CICIDS2017,mateen,0.5,2,0.8005199095216678,0.7301774530690194,0.051663626269035534
